address,city,square,rooms,living square,toilet rooms,fix,price per sq m,publish date
"P.O. Box 522, 6973 Hendrerit Avenue",Zaventem,261,4,232,1,1,11.72$,03/13/2020
637-7316 Adipiscing Street,Rhayader,70,5,82,3,1,16.30$,04/05/2020
Ap #893-3882 Vel Road,Łomża,179,1,27,3,1,17.77$,02/07/2019
2814 Interdum Road,Sovizzo,291,3,122,1,2,18.42$,09/19/2018
745-5401 In Av.,Cantley,152,3,206,1,1,15.08$,01/25/2020
443-1559 Faucibus Rd.,Glasgow,119,1,103,2,3,4.48$,03/07/2019
"P.O. Box 588, 974 Etiam Road",Champdani,197,3,97,2,2,6.18$,02/20/2020
"P.O. Box 653, 5864 Dui. St.",Nuneaton,159,1,138,1,2,18.84$,03/28/2020
"P.O. Box 323, 7680 Iaculis Road",Penco,128,1,48,3,1,2.02$,05/05/2019
Ap #662-9100 Vivamus Rd.,Champorcher,265,4,122,1,2,11.01$,08/19/2019
512-3778 Iaculis Rd.,Brandon,79,1,67,1,1,9.70$,04/23/2020
Ap #762-6493 Dictum Street,Monacilioni,49,1,182,1,1,9.46$,08/03/2019
445-3529 Tortor Rd.,Lugo,189,1,249,2,2,8.40$,07/08/2019
"P.O. Box 406, 3589 Mauris Street",Padre las Casas,284,1,113,2,1,12.07$,04/13/2019
251-1398 Nisl. Rd.,Ebenthal in Kärnten,192,5,186,3,1,9.56$,03/21/2019
Ap #747-1295 Dictum Street,Brandenburg,96,5,120,1,2,17.27$,12/18/2018
3910 Aliquet Ave,Guysborough,53,5,188,1,2,1.70$,01/14/2020
"P.O. Box 361, 362 Odio Av.",Lake Cowichan,291,3,84,3,2,3.50$,10/12/2019
"P.O. Box 417, 5545 Luctus Road",Baie-Saint-Paul,241,5,158,2,1,16.82$,02/21/2019
375-6789 Purus St.,Auckland,197,3,153,1,2,5.13$,01/03/2020
856-9640 Purus Rd.,Castiglione di Sicilia,69,3,236,3,3,5.99$,05/26/2019
Ap #838-1341 Accumsan St.,Pramaggiore,57,3,220,3,3,2.84$,08/12/2019
822-5384 Ornare Ave,Tumba,199,5,233,3,2,15.20$,01/25/2020
Ap #390-8069 Cursus Rd.,Saint-Pierre,96,5,231,3,3,19.25$,12/12/2018
716-7625 Lectus. Road,Le Cannet,164,5,168,1,2,13.37$,03/04/2020
"P.O. Box 965, 1987 Sed Street",Sydney,147,4,180,3,1,5.46$,05/02/2019
Ap #982-4449 In Street,Dubuisson,234,5,27,3,1,0.87$,12/24/2018
"7671 Est, Street",Barranca,52,4,183,1,3,6.91$,12/07/2018
Ap #198-8815 Sed Street,Pinkafeld,112,3,173,2,1,7.39$,03/09/2020
430 Nibh. Rd.,Konstanz,64,3,159,1,1,4.36$,11/07/2018
Ap #966-2393 Dui. Avenue,Montgomery,217,5,262,1,3,0.77$,01/03/2020
"P.O. Box 180, 4413 Tristique Rd.",Victoria,175,3,239,1,1,17.12$,09/22/2019
750-6880 Ridiculus Ave,Savona,275,2,207,2,1,5.87$,06/05/2020
"P.O. Box 792, 2591 Eu Road",Eberswalde-Finow,83,4,91,3,3,7.21$,12/31/2019
"P.O. Box 900, 5581 Leo. Av.",Boo,169,1,87,3,1,4.08$,07/30/2019
"4155 Elit, Rd.",Miami,72,2,90,3,1,11.21$,11/15/2018
Ap #566-5831 Dapibus Road,Hornsea,149,1,119,1,2,12.56$,11/03/2018
111-4363 Sed Av.,Cetara,194,1,163,1,3,19.97$,10/21/2019
6415 Aliquam Avenue,Kakinada,75,2,199,3,3,5.68$,11/20/2018
"Ap #286-9997 Amet, St.",Maple Creek,232,4,114,2,2,17.30$,04/12/2019
Ap #356-8670 Sit Rd.,Breda,172,3,79,3,2,1.85$,07/30/2018
"P.O. Box 344, 7195 Imperdiet, Ave",Tywyn,185,3,220,1,1,0.92$,07/07/2018
789-4403 Duis Road,Oudenburg,137,4,64,1,1,4.50$,06/27/2018
"P.O. Box 914, 482 Fermentum St.",Eyemouth,155,1,168,2,2,0.54$,06/02/2020
1132 Elit Street,Bidar,187,3,48,1,2,17.47$,04/26/2019
"P.O. Box 147, 2075 Eu Rd.",Tsiigehtchic,181,1,79,3,2,6.15$,08/15/2018
Ap #721-1753 Luctus Rd.,Erpe,255,2,202,2,2,4.98$,04/08/2020
9612 Arcu. Av.,Waren,101,3,96,3,3,8.87$,08/09/2019
"P.O. Box 923, 3570 Dis Avenue",Concón,168,1,253,2,3,11.05$,01/01/2019
2524 Mollis Rd.,Broken Hill,251,1,126,2,3,11.27$,02/20/2019
